BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3
Bradleys,Restaurant/Cafe/Canteen,38 High Street,Theale,Reading
Braeburn Lodge Care Home,Caring Premises,Braeburn Lodge Care Home Bath Road,Beenham,Reading
Breakfast and After School Club,School/college/university,Silchester Road,Reading,
Breakfast Box Mobile Van,Mobile caterer,Rose Kiln Lane,Reading,
Bridge Baker,Restaurant/Cafe/Canteen,Coral Racing Ltd,99 - 101 Hammersmith Road,London
Bright Horizons Farnborough Day Nursery \& Preschool,Caring Premises,40 Reading Road,Farnborough,Hampshire
British Racing Drivers Club,Restaurant/Cafe/Canteen,Silverstone Motor Racing Circuit,Silverstone Circuit,Silverstone
Brookleas Fish Farm,Manufacturers/packers,Brookleas Fish Farm Reading Road,East Hendred,Wantage
BRS Education Ltd,School/college/university,The British Racing School,Snailwell Road,Newmarket
Bubble CiTea,Restaurant/Cafe/Canteen,Bridge Street,Reading,
Bubbleology Reading,Other catering premises,Bridge Street,Reading,
Bubbles Spa Car Wash,Restaurant/Cafe/Canteen,3 Reading Arch Road,Redhill,Surrey
Bucklebury Farm Ltd,Restaurant/Cafe/Canteen,Bucklebury Farm Park Pease Hill,Bucklebury,Reading
Budgens at Milestone Way Precinct,Retailers - supermarkets/hypermarkets,Milestone Way,Caversham,Reading
Buenasado,Restaurant/Cafe/Canteen,Bridge Street,Reading,
Burger and Chips,Mobile caterer,Willow Farm Reading Street,,Tenterden
Burger Den,Takeaway/sandwich shop,109a Oxford Road,Reading,
Burger King,Restaurant/Cafe/Canteen,Imperial Way,Reading,
Burger King,Restaurant/Cafe/Canteen,Burger King Unit 9,Roaring Meg Retail Park,London Road
Burger King At Moto Hospitality Eastbound,Restaurant/Cafe/Canteen,Burger King,Burghfield,Reading
"Burger King At Moto Services Reading, Westbound",Restaurant/Cafe/Canteen,Burger King (uk) Ltd,Burghfield,Reading
Burger King at Reading Rail Station Concourse,Restaurant/Cafe/Canteen,Station Approach,Reading,
Burger King Reading,Restaurant/Cafe/Canteen,8-9 St Marys Butts,Reading,
"Burghfield, Mortimer & District Foodbank",Retailers - other,Church Of St Oswald Abbey Park,Burghfield Common,Reading
Burniston And Cloughton Play Group,Caring Premises,The Reading Rooms High Street,Cloughton,
Busy Bees Nursery at Reading International,Caring Premises,A33 Relief Road,Reading,
Butts Kiosk Carpark Foyer at The Riverside The Oracle,Retailers - other,Bridge Street,Reading,
Butts Super News,Retailers - other,72 School Road,Tilehurst,Reading
Butts Today's Local,Retailers - other,145-147 The Meadway,Reading,
Byte Café,Restaurant/Cafe/Canteen,100 Longwater Avenue,Reading,
